Unnamed: 0,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,shape,MATCHkey,RT,correct,response,condition,TaskType,Association
116,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,rhomboid,,friend,Yneutral_k,512,1.0,j,single,RG_incongruent,friend
117,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,octagon,,happy,Yneutral_k,485,1.0,j,single,RG_incongruent,happy
118,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,rhomboid,,friend,Yneutral_k,450,1.0,j,single,RG_incongruent,friend
119,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,triangle,,you,Yneutral_k,315,1.0,k,single,RG_incongruent,you
120,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,diamond,,neutral,Yneutral_k,402,1.0,k,single,RG_incongruent,neutral
121,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,261,1.0,k,pair,RG_incongruent,neutralyou
122,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,287,0.0,k,pair,RG_incongruent,friendhappy
123,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,triangle,,you,Yneutral_k,337,1.0,k,single,RG_incongruent,you
124,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,448,1.0,j,pair,RG_incongruent,friendhappy
125,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,octagon,,happy,Yneutral_k,516,1.0,j,single,RG_incongruent,happy
126,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,octagon,,happy,Yneutral_k,344,1.0,j,single,RG_incongruent,happy
127,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,triangle,diamond,youneutral,Yneutral_k,452,1.0,k,pair,RG_incongruent,youneutral
128,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,triangle,diamond,youneutral,Yneutral_k,378,1.0,k,pair,RG_incongruent,youneutral
129,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,octagon,,happy,Yneutral_k,500,1.0,j,single,RG_incongruent,happy
130,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,diamond,,neutral,Yneutral_k,708,1.0,k,single,RG_incongruent,neutral
131,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,rhomboid,,friend,Yneutral_k,526,1.0,j,single,RG_incongruent,friend
132,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,triangle,,you,Yneutral_k,417,1.0,k,single,RG_incongruent,you
133,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,triangle,diamond,youneutral,Yneutral_k,420,1.0,k,pair,RG_incongruent,youneutral
134,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,octagon,,happy,Yneutral_k,328,1.0,j,single,RG_incongruent,happy
135,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,diamond,,neutral,Yneutral_k,417,1.0,k,single,RG_incongruent,neutral
136,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,octagon,,happy,Yneutral_k,424,1.0,j,single,RG_incongruent,happy
137,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,triangle,,you,Yneutral_k,276,1.0,k,single,RG_incongruent,you
138,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,369,1.0,j,pair,RG_incongruent,happyfriend
139,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,diamond,,neutral,Yneutral_k,311,1.0,k,single,RG_incongruent,neutral
140,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,rhomboid,,friend,Yneutral_k,370,1.0,j,single,RG_incongruent,friend
141,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,triangle,,you,Yneutral_k,318,1.0,k,single,RG_incongruent,you
142,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,345,1.0,j,pair,RG_incongruent,happyfriend
143,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,triangle,,you,Yneutral_k,382,1.0,k,single,RG_incongruent,you
144,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,diamond,,neutral,Yneutral_k,516,1.0,k,single,RG_incongruent,neutral
145,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,408,0.0,j,pair,RG_incongruent,neutralyou
146,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,rhomboid,,friend,Yneutral_k,522,1.0,j,single,RG_incongruent,friend
147,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,triangle,,you,Yneutral_k,498,1.0,k,single,RG_incongruent,you
148,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,447,1.0,j,pair,RG_incongruent,happyfriend
149,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,octagon,,happy,Yneutral_k,535,1.0,j,single,RG_incongruent,happy
150,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400,rhomboid,,friend,Yneutral_k,536,1.0,j,single,RG_incongruent,friend
151,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,400,1.0,k,pair,RG_incongruent,neutralyou
152,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,octagon,,happy,Yneutral_k,360,1.0,j,single,RG_incongruent,happy
153,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,rhomboid,,friend,Yneutral_k,285,1.0,j,single,RG_incongruent,friend
154,4,1,19,female,College or Technical school,right-handed,RG1_YN,2.0,-400,rhomboid,,friend,Yneutral_k,306,1.0,j,single,RG_incongruent,friend
