stim1,stim2,RT,correct,condition,Association,TaskType
rhomboid,,581,1,single,you,RG_incongruent
rhomboid,octagon,756,1,pair,youneutral,RG_incongruent
diamond,,640,0,single,happy,RG_incongruent
octagon,,431,0,single,neutral,RG_incongruent
rhomboid,octagon,613,1,pair,youneutral,RG_incongruent
diamond,triangle,269,1,pair,friendhappy,RG_incongruent
octagon,rhomboid,690,1,pair,youneutral,RG_incongruent
triangle,,417,0,single,friend,RG_incongruent
rhomboid,,581,1,single,you,RG_incongruent
octagon,,517,1,single,neutral,RG_incongruent
rhomboid,,1114,1,single,you,RG_incongruent
rhomboid,,435,0,single,you,RG_incongruent
octagon,,495,1,single,neutral,RG_incongruent
triangle,,435,1,single,friend,RG_incongruent
triangle,,383,1,single,friend,RG_incongruent
triangle,,432,1,single,friend,RG_incongruent
rhomboid,,466,1,single,you,RG_incongruent
triangle,diamond,400,1,pair,friendhappy,RG_incongruent
octagon,rhomboid,429,1,pair,youneutral,RG_incongruent
octagon,,612,1,single,neutral,RG_incongruent
rhomboid,,493,1,single,you,RG_incongruent
rhomboid,,510,1,single,you,RG_incongruent
triangle,diamond,427,1,pair,friendhappy,RG_incongruent
diamond,,331,1,single,happy,RG_incongruent
rhomboid,,348,0,single,you,RG_incongruent
octagon,,452,0,single,neutral,RG_incongruent
rhomboid,octagon,781,1,pair,youneutral,RG_incongruent
triangle,diamond,415,1,pair,friendhappy,RG_incongruent
rhomboid,octagon,373,1,pair,youneutral,RG_incongruent
triangle,,483,0,single,friend,RG_incongruent
triangle,,427,1,single,friend,RG_incongruent
triangle,diamond,475,1,pair,friendhappy,RG_incongruent
rhomboid,,633,1,single,you,RG_incongruent
diamond,,500,1,single,happy,RG_incongruent
octagon,,661,1,single,neutral,RG_incongruent
diamond,,600,1,single,happy,RG_incongruent
rhomboid,,483,1,single,you,RG_incongruent
octagon,,556,0,single,neutral,RG_incongruent
octagon,rhomboid,385,1,pair,youneutral,RG_incongruent
rhomboid,,386,1,single,you,RG_incongruent
diamond,,279,0,single,happy,RG_incongruent
diamond,triangle,261,1,pair,friendhappy,RG_incongruent
triangle,,223,1,single,friend,RG_incongruent
diamond,triangle,384,1,pair,friendhappy,RG_incongruent
diamond,triangle,283,1,pair,friendhappy,RG_incongruent
diamond,triangle,183,0,pair,friendhappy,RG_incongruent
octagon,,462,1,single,neutral,RG_incongruent
octagon,,347,1,single,neutral,RG_incongruent
diamond,,468,1,single,happy,RG_incongruent
octagon,,569,1,single,neutral,RG_incongruent
diamond,triangle,488,1,pair,friendhappy,RG_incongruent
triangle,,457,0,single,friend,RG_incongruent
diamond,,431,1,single,happy,RG_incongruent
rhomboid,,352,0,single,you,RG_incongruent
octagon,rhomboid,387,1,pair,youneutral,RG_incongruent
rhomboid,octagon,291,1,pair,youneutral,RG_incongruent
rhomboid,octagon,304,1,pair,youneutral,RG_incongruent
triangle,,414,1,single,friend,RG_incongruent
triangle,,369,1,single,friend,RG_incongruent
diamond,,534,1,single,happy,RG_incongruent
triangle,diamond,336,0,pair,friendhappy,RG_incongruent
octagon,,402,0,single,neutral,RG_incongruent
diamond,,706,1,single,happy,RG_incongruent
diamond,,316,0,single,happy,RG_incongruent
triangle,,306,1,single,friend,RG_incongruent
diamond,,291,1,single,happy,RG_incongruent
octagon,,433,1,single,neutral,RG_incongruent
octagon,rhomboid,649,1,pair,youneutral,RG_incongruent
octagon,rhomboid,493,1,pair,youneutral,RG_incongruent
rhomboid,octagon,427,1,pair,youneutral,RG_incongruent
triangle,,543,1,single,happy,RG_congruent
rhomboid,,403,1,single,friend,RG_congruent
rhomboid,octagon,616,1,pair,friendneutral,RG_congruent
rhomboid,,574,1,single,friend,RG_congruent
triangle,diamond,392,0,pair,youhappy,RG_congruent
triangle,,477,1,single,happy,RG_congruent
rhomboid,,452,1,single,friend,RG_congruent
diamond,triangle,529,0,pair,youhappy,RG_congruent
diamond,triangle,533,0,pair,youhappy,RG_congruent
octagon,,597,0,single,neutral,RG_congruent
octagon,,608,1,single,neutral,RG_congruent
diamond,triangle,485,1,pair,youhappy,RG_congruent
triangle,,544,1,single,happy,RG_congruent
octagon,,333,1,single,neutral,RG_congruent
octagon,,476,1,single,neutral,RG_congruent
triangle,,586,1,single,happy,RG_congruent
rhomboid,,531,1,single,friend,RG_congruent
rhomboid,,523,1,single,friend,RG_congruent
rhomboid,octagon,690,1,pair,friendneutral,RG_congruent
triangle,diamond,1402,1,pair,youhappy,RG_congruent
triangle,,639,1,single,happy,RG_congruent
octagon,rhomboid,644,1,pair,friendneutral,RG_congruent
diamond,,511,1,single,you,RG_congruent
triangle,,544,1,single,happy,RG_congruent
rhomboid,,366,1,single,friend,RG_congruent
rhomboid,octagon,688,1,pair,friendneutral,RG_congruent
triangle,diamond,682,1,pair,youhappy,RG_congruent
octagon,rhomboid,635,1,pair,friendneutral,RG_congruent
rhomboid,octagon,549,1,pair,friendneutral,RG_congruent
rhomboid,,463,1,single,friend,RG_congruent
rhomboid,,450,1,single,friend,RG_congruent
octagon,rhomboid,1053,1,pair,friendneutral,RG_congruent
diamond,triangle,594,1,pair,youhappy,RG_congruent
diamond,,583,1,single,you,RG_congruent
diamond,triangle,602,1,pair,youhappy,RG_congruent
diamond,,493,1,single,you,RG_congruent
octagon,rhomboid,418,1,pair,friendneutral,RG_congruent
triangle,diamond,783,1,pair,youhappy,RG_congruent
octagon,,555,1,single,neutral,RG_congruent
rhomboid,,550,1,single,friend,RG_congruent
triangle,diamond,338,1,pair,youhappy,RG_congruent
rhomboid,octagon,324,1,pair,friendneutral,RG_congruent
octagon,,469,1,single,neutral,RG_congruent
diamond,,457,1,single,you,RG_congruent
